"","Code.or.Value","Value.Description","Count","Cumulative","Skip.to.Item","Variable","Fichier","jointure","var_tab"
"1","AUCUN","AUCUN",NA,NA,NA,"SEQN","DEMO_I.htm","SEQN_DEMO_AUCUN","SEQN_DEMO"
"2","9","NHANES 2015-2016 public release",9971,"9971",NA,"SDDSRVYR","DEMO_I.htm","SDDSRVYR_DEMO_9","SDDSRVYR_DEMO"
"3",".","Missing",0,"9971",NA,"SDDSRVYR","DEMO_I.htm","SDDSRVYR_DEMO_.","SDDSRVYR_DEMO"
"4","1","Interviewed only",427,"427",NA,"RIDSTATR","DEMO_I.htm","RIDSTATR_DEMO_1","RIDSTATR_DEMO"
"5","2","Both interviewed and MEC examined",9544,"9971",NA,"RIDSTATR","DEMO_I.htm","RIDSTATR_DEMO_2","RIDSTATR_DEMO"
"6",".","Missing",0,"9971",NA,"RIDSTATR","DEMO_I.htm","RIDSTATR_DEMO_.","RIDSTATR_DEMO"
"7","1","Male",4892,"4892",NA,"RIAGENDR","DEMO_I.htm","RIAGENDR_DEMO_1","RIAGENDR_DEMO"
"8","2","Female",5079,"9971",NA,"RIAGENDR","DEMO_I.htm","RIAGENDR_DEMO_2","RIAGENDR_DEMO"
"9",".","Missing",0,"9971",NA,"RIAGENDR","DEMO_I.htm","RIAGENDR_DEMO_.","RIAGENDR_DEMO"
"10","0 to 79","Range of Values",9595,"9595",NA,"RIDAGEYR","DEMO_I.htm","RIDAGEYR_DEMO_0 to 79","RIDAGEYR_DEMO"
"11","80","80 years of age and over",376,"9971",NA,"RIDAGEYR","DEMO_I.htm","RIDAGEYR_DEMO_80","RIDAGEYR_DEMO"
"12",".","Missing",0,"9971",NA,"RIDAGEYR","DEMO_I.htm","RIDAGEYR_DEMO_.","RIDAGEYR_DEMO"
"13","0 to 24","Range of Values",695,"695",NA,"RIDAGEMN","DEMO_I.htm","RIDAGEMN_DEMO_0 to 24","RIDAGEMN_DEMO"
"14",".","Missing",9276,"9971",NA,"RIDAGEMN","DEMO_I.htm","RIDAGEMN_DEMO_.","RIDAGEMN_DEMO"
"15","1","Mexican American",1921,"1921",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_1","RIDRETH1_DEMO"
"16","2","Other Hispanic",1308,"3229",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_2","RIDRETH1_DEMO"
"17","3","Non-Hispanic White",3066,"6295",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_3","RIDRETH1_DEMO"
"18","4","Non-Hispanic Black",2129,"8424",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_4","RIDRETH1_DEMO"
"19","5","Other Race - Including Multi-Racial",1547,"9971",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_5","RIDRETH1_DEMO"
"20",".","Missing",0,"9971",NA,"RIDRETH1","DEMO_I.htm","RIDRETH1_DEMO_.","RIDRETH1_DEMO"
"21","1","Mexican American",1921,"1921",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_1","RIDRETH3_DEMO"
"22","2","Other Hispanic",1308,"3229",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_2","RIDRETH3_DEMO"
"23","3","Non-Hispanic White",3066,"6295",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_3","RIDRETH3_DEMO"
"24","4","Non-Hispanic Black",2129,"8424",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_4","RIDRETH3_DEMO"
"25","6","Non-Hispanic Asian",1042,"9466",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_6","RIDRETH3_DEMO"
"26","7","Other Race - Including Multi-Racial",505,"9971",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_7","RIDRETH3_DEMO"
"27",".","Missing",0,"9971",NA,"RIDRETH3","DEMO_I.htm","RIDRETH3_DEMO_.","RIDRETH3_DEMO"
"28","1","November 1 through April 30",4594,"4594",NA,"RIDEXMON","DEMO_I.htm","RIDEXMON_DEMO_1","RIDEXMON_DEMO"
"29","2","May 1 through October 31",4950,"9544",NA,"RIDEXMON","DEMO_I.htm","RIDEXMON_DEMO_2","RIDEXMON_DEMO"
"30",".","Missing",427,"9971",NA,"RIDEXMON","DEMO_I.htm","RIDEXMON_DEMO_.","RIDEXMON_DEMO"
"31","0 to 239","Range of Values",4060,"4060",NA,"RIDEXAGM","DEMO_I.htm","RIDEXAGM_DEMO_0 to 239","RIDEXAGM_DEMO"
"32",".","Missing",5911,"9971",NA,"RIDEXAGM","DEMO_I.htm","RIDEXAGM_DEMO_.","RIDEXAGM_DEMO"
"33","1","Yes",527,"527","","DMQMILIZ","DEMO_I.htm","DMQMILIZ_DEMO_1","DMQMILIZ_DEMO"
"34","2","No",5622,"6149","DMDBORN4","DMQMILIZ","DEMO_I.htm","DMQMILIZ_DEMO_2","DMQMILIZ_DEMO"
"35","7","Refused",0,"6149","DMDBORN4","DMQMILIZ","DEMO_I.htm","DMQMILIZ_DEMO_7","DMQMILIZ_DEMO"
"36","9","Don't Know",0,"6149","DMDBORN4","DMQMILIZ","DEMO_I.htm","DMQMILIZ_DEMO_9","DMQMILIZ_DEMO"
"37",".","Missing",3822,"9971","","DMQMILIZ","DEMO_I.htm","DMQMILIZ_DEMO_.","DMQMILIZ_DEMO"
"38","1","Yes",258,"258",NA,"DMQADFC","DEMO_I.htm","DMQADFC_DEMO_1","DMQADFC_DEMO"
"39","2","No",267,"525",NA,"DMQADFC","DEMO_I.htm","DMQADFC_DEMO_2","DMQADFC_DEMO"
"40","7","Refused",2,"527",NA,"DMQADFC","DEMO_I.htm","DMQADFC_DEMO_7","DMQADFC_DEMO"
"41","9","Don't Know",0,"527",NA,"DMQADFC","DEMO_I.htm","DMQADFC_DEMO_9","DMQADFC_DEMO"
"42",".","Missing",9444,"9971",NA,"DMQADFC","DEMO_I.htm","DMQADFC_DEMO_.","DMQADFC_DEMO"
"43","1","Born in 50 US states or Washington, DC",7733,"7733",NA,"DMDBORN4","DEMO_I.htm","DMDBORN4_DEMO_1","DMDBORN4_DEMO"
"44","2","Others",2236,"9969",NA,"DMDBORN4","DEMO_I.htm","DMDBORN4_DEMO_2","DMDBORN4_DEMO"
