"","code","libel"
"2","SEQN_DEMO","Respondent sequence number"
"3","SDDSRVYR_DEMO","Data release cycle"
"4","RIDSTATR_DEMO","Interview/Examination status"
"5","RIAGENDR_DEMO","Gender"
"6","RIDAGEYR_DEMO","Age in years at screening "
"7","RIDAGEMN_DEMO","0 to 24 mos"
"8","RIDRETH1_DEMO","Race/Hispanic origin"
"9","RIDRETH3_DEMO","Race/Hispanic origin w/ NH Asian"
"10","RIDEXMON_DEMO","Six month time period"
"11","RIDEXAGM_DEMO","0 to 19 years"
"12","DMQMILIZ_DEMO","Served active duty in US Armed Forces"
"13","DMQADFC_DEMO","Served in a foreign country"
"14","DMDBORN4_DEMO","Country of birth"
"15","DMDCITZN_DEMO","Citizenship status"
"16","DMDYRSUS_DEMO","Length of time in US"
"17","DMDEDUC3_DEMO","19"
"18","DMDEDUC2_DEMO","Adults 20+"
"19","DMDMARTL_DEMO","Marital status"
"20","RIDEXPRG_DEMO","Pregnancy status at exam"
"21","SIALANG_DEMO","Language of SP Interview"
"22","SIAPROXY_DEMO","Proxy used in SP Interview?"
"23","SIAINTRP_DEMO","Interpreter used in SP Interview?"
"24","FIALANG_DEMO","Language of Family Interview"
"25","FIAPROXY_DEMO","Proxy used in Family Interview?"
"26","FIAINTRP_DEMO","Interpreter used in Family Interview?"
"27","MIALANG_DEMO","Language of MEC Interview"
"28","MIAPROXY_DEMO","Proxy used in MEC Interview?"
"29","MIAINTRP_DEMO","Interpreter used in MEC Interview?"
"30","AIALANGA_DEMO","Language of ACASI Interview"
"31","DMDHHSIZ_DEMO","Total number of people in the Household"
"32","DMDFMSIZ_DEMO","Total number of people in the Family"
"33","DMDHHSZA_DEMO","# of children 5 years or younger in HH"
"34","DMDHHSZB_DEMO","17 years old in HH"
"35","DMDHHSZE_DEMO","# of adults 60 years or older in HH"
"36","DMDHRGND_DEMO","HH ref person's gender"
"37","DMDHRAGE_DEMO","HH ref person's age in years"
"38","DMDHRBR4_DEMO","HH ref person's country of birth"
"39","DMDHREDU_DEMO","HH ref person's education level"
"40","DMDHRMAR_DEMO","HH ref person's marital status"
"41","DMDHSEDU_DEMO","HH ref person's spouse's education level"
"42","WTINT2YR_DEMO","Full sample 2 year interview weight"
"43","WTMEC2YR_DEMO","Full sample 2 year MEC exam weight"
"44","SDMVPSU_DEMO","PSU"
"45","SDMVSTRA_DEMO","stratum"
"46","INDHHIN2_DEMO","Annual household income"
"47","INDFMIN2_DEMO","Annual family income"
"48","INDFMPIR_DEMO","Ratio of family income to poverty"
"49","SEQN_DR1IFF","Respondent sequence number"
"50","WTDRD1_DR1IFF","Dietary day one sample weight"
"51","WTDR2D_DR1IFF","day sample weight"
"52","DR1ILINE_DR1IFF","Food/Individual component number"
"53","DR1DRSTZ_DR1IFF","Dietary recall status"
"54","DR1EXMER_DR1IFF","Interviewer ID code"
"55","DRABF_DR1IFF","fed infant (either day)"
"56","DRDINT_DR1IFF","Number of days of intake"
"57","DR1DBIH_DR1IFF","# of days b/w intake and HH interview"
"58","DR1DAY_DR1IFF","Intake day of the week"
"59","DR1LANG_DR1IFF","Language respondent used mostly"
"60","DR1CCMNM_DR1IFF","Combination food number"
"61","DR1CCMTX_DR1IFF","Combination food type"
"62","DR1_020_DR1IFF","Time of eating occasion (HH:MM)"
"63","DR1_030Z_DR1IFF","Name of eating occasion"
"64","DR1FS_DR1IFF","Source of food"
"65","DR1_040Z_DR1IFF","Did you eat this meal at home? "
"66","DR1IFDCD_DR1IFF","USDA food code"
"67","DR1IGRMS_DR1IFF","Grams"
"68","DR1IKCAL_DR1IFF","Energy (kcal)"
"69","DR1IPROT_DR1IFF","Protein (gm)"
"70","DR1ICARB_DR1IFF","Carbohydrate (gm)"
"71","DR1ISUGR_DR1IFF","Total sugars (gm)"
"72","DR1IFIBE_DR1IFF","Dietary fiber (gm)"
"73","DR1ITFAT_DR1IFF","Total fat (gm)"
"74","DR1ISFAT_DR1IFF","Total saturated fatty acids (gm)"
"75","DR1IMFAT_DR1IFF","Total monounsaturated fatty acids (gm)"
"76","DR1IPFAT_DR1IFF","Total polyunsaturated fatty acids (gm)"
"77","DR1ICHOL_DR1IFF","Cholesterol (mg)"
"78","DR1IATOC_DR1IFF","tocopherol (mg)"
"79","DR1IATOA_DR1IFF","tocopherol (Vitamin E) (mg)"
"80","DR1IRET_DR1IFF","Retinol (mcg)"
"81","DR1IVARA_DR1IFF","Vitamin A, RAE (mcg)"
"82","DR1IACAR_DR1IFF","carotene (mcg)"
"83","DR1IBCAR_DR1IFF","carotene (mcg)"
"84","DR1ICRYP_DR1IFF","cryptoxanthin (mcg)"
"85","DR1ILYCO_DR1IFF","Lycopene (mcg)"
"86","DR1ILZ_DR1IFF","Lutein + zeaxanthin (mcg)"
"87","DR1IVB1_DR1IFF","Thiamin (Vitamin B1) (mg)"
"88","DR1IVB2_DR1IFF","Riboflavin (Vitamin B2) (mg)"
"89","DR1INIAC_DR1IFF","Niacin (mg)"
"90","DR1IVB6_DR1IFF","Vitamin B6 (mg)"
"91","DR1IFOLA_DR1IFF","Total folate (mcg)"
"92","DR1IFA_DR1IFF","Folic acid (mcg)"
"93","DR1IFF_DR1IFF","Food folate (mcg)"
"94","DR1IFDFE_DR1IFF","Folate, DFE (mcg)"
"95","DR1ICHL_DR1IFF","Total choline (mg)"
"96","DR1IVB12_DR1IFF","Vitamin B12 (mcg)"
"97","DR1IB12A_DR1IFF","Added vitamin B12 (mcg)"
"98","DR1IVC_DR1IFF","Vitamin C (mg)"
"99","DR1IVD_DR1IFF","Vitamin D (D2 + D3) (mcg)"
"100","DR1IVK_DR1IFF","Vitamin K (mcg)"
"101","DR1ICALC_DR1IFF","Calcium (mg)"
"102","DR1IPHOS_DR1IFF","Phosphorus (mg)"
"103","DR1IMAGN_DR1IFF","Magnesium (mg)"
"104","DR1IIRON_DR1IFF","Iron (mg)"
"105","DR1IZINC_DR1IFF","Zinc (mg)"
"106","DR1ICOPP_DR1IFF","Copper (mg)"
"107","DR1ISODI_DR1IFF","Sodium (mg)"
"108","DR1IPOTA_DR1IFF","Potassium (mg)"
"109","DR1ISELE_DR1IFF","Selenium (mcg)"
